1960, Theme From Exodus
1961, Moon River
1962, What Kind Of Fool Am I
1963, Days Of Wine And Roses
1964, Hello, Dolly!
1965, The Shadow Of Your Smile 
1966, Michelle
1967, Up, Up And Away
1968, Little Green Apples
1969, Games People Play
1970, Bridge Over Troubled Water
1971, You've Got A Friend
1972, The First Time Ever I Saw Your Face
1973, Killing Me Softly With His Song
1974, The Way We Were
1975, Send In The Clowns
1976, I Write The Songs
1977, Love Theme From A Star Is Born 
1977, You Light Up My Life 
1978, Just The Way You Are
1979, What A Fool Believes
1980, Sailing
1981, Bette Davis Eyes
1982, Always On My Mind
1983, Every Breath You Take
1984, What's Love Got To Do With It
1985, We Are The World
1986, That's What Friends Are For
1987, Somewhere Out There
1988, Don't Worry Be Happy
1989, Wind Beneath My Wings
1990, From A Distance
1991, Unforgettable
1992, Tears In Heaven
1993, A Whole New World 
1994, Streets Of Philadelphia
1995, Kiss From A Rose
1996, Change The World
1997, Sunny Came Home
1998, My Heart Will Go On 
1999, Smooth
2000, Beautiful Day
2001, Fallin'
2002, Don't Know Why
2003, Dance With My Father
2004, Daughters
2005, Sometimes You Can't Make It On Your Own
2006, Not Ready To Make Nice
2007, Rehab
2008, Viva La Vida
2009, Single Ladies 
2010, Need You Now
2011, Rolling In The Deep
2012, We Are Young
2013, Royals
2014, Stay With Me 
